	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
APOC1	0	1.97821017555074	0.974	0.315	0	Alveolar macrophages	APOC1
C1QB	0	1.96423395748608	0.966	0.327	0	Alveolar macrophages	C1QB
LYZ	0	1.89117723939466	0.996	0.567	0	Alveolar macrophages	LYZ
FABP4	0	1.76480999402275	0.876	0.153	0	Alveolar macrophages	FABP4
C1QA	0	1.76372002502236	0.974	0.298	0	Alveolar macrophages	C1QA
CCL18	0	1.75090591495335	0.639	0.068	0	Alveolar macrophages	CCL18
GRN	0	1.73677476334582	0.989	0.496	0	Alveolar macrophages	GRN
MCEMP1	0	1.68133251850357	0.91	0.152	0	Alveolar macrophages	MCEMP1
MARCO	0	1.67781585885247	0.928	0.139	0	Alveolar macrophages	MARCO
FBP1	0	1.67774110494498	0.97	0.344	0	Alveolar macrophages	FBP1
C1QC	0	1.6666035369533	0.949	0.298	0	Alveolar macrophages	C1QC
FTL	0	1.65080779083782	0.999	0.901	0	Alveolar macrophages	FTL
ACP5	0	1.63139928327889	0.974	0.278	0	Alveolar macrophages	ACP5
CTSD	0	1.62276484601945	0.987	0.558	0	Alveolar macrophages	CTSD
MSR1	0	1.60706587029339	0.962	0.234	0	Alveolar macrophages	MSR1
HLA-DRB1	0	1.56522721946996	0.999	0.861	0	Alveolar macrophages	HLA-DRB1
PSAP	0	1.56027417209411	0.999	0.896	0	Alveolar macrophages	PSAP
HLA-DRA	0	1.47763005260707	0.999	0.877	0	Alveolar macrophages	HLA-DRA
FCER1G	0	1.45342765047733	0.992	0.523	0	Alveolar macrophages	FCER1G
CTSB	0	1.42712873631062	0.994	0.675	0	Alveolar macrophages	CTSB
MRC1	0	1.3945984531028	0.949	0.228	0	Alveolar macrophages	MRC1
ALDH2	0	1.38859662719553	0.975	0.525	0	Alveolar macrophages	ALDH2
S100A11	0	1.37327402019546	0.994	0.729	0	Alveolar macrophages	S100A11
LGALS3	0	1.3646758559049	0.98	0.642	0	Alveolar macrophages	LGALS3
CD52	0	1.3524671507692	0.962	0.434	0	Alveolar macrophages	CD52
FN1	0	1.33340556152546	0.692	0.113	0	Alveolar macrophages	FN1
CD74	0	1.31856537640953	0.999	0.952	0	Alveolar macrophages	CD74
CSTB	0	1.3149731773227	0.988	0.629	0	Alveolar macrophages	CSTB
TYROBP	0	1.30961207740127	0.99	0.519	0	Alveolar macrophages	TYROBP
INHBA	0	1.28219677842616	0.784	0.064	0	Alveolar macrophages	INHBA
SERPINA1	0	1.26078629284981	0.971	0.483	0	Alveolar macrophages	SERPINA1
MS4A7	0	1.25616818376076	0.97	0.265	0	Alveolar macrophages	MS4A7
VSIG4	0	1.24454510937329	0.862	0.094	0	Alveolar macrophages	VSIG4
SERPING1	0	1.24178797274626	0.915	0.399	0	Alveolar macrophages	SERPING1
PLIN2	0	1.22871707958347	0.972	0.516	0	Alveolar macrophages	PLIN2
CYBB	0	1.2150924198965	0.885	0.23	0	Alveolar macrophages	CYBB
FTH1	0	1.19806516243191	0.999	0.971	0	Alveolar macrophages	FTH1
S100A4	0	1.19713802321075	0.989	0.673	0	Alveolar macrophages	S100A4
CXCL16	0	1.18458406101814	0.97	0.372	0	Alveolar macrophages	CXCL16
IFI6	0	1.18072092980638	0.935	0.379	0	Alveolar macrophages	IFI6
GPNMB	0	1.15364463696691	0.887	0.118	0	Alveolar macrophages	GPNMB
CD68	0	1.10998266691908	0.908	0.129	0	Alveolar macrophages	CD68
CAPG	0	1.07491287650119	0.962	0.319	0	Alveolar macrophages	CAPG
OLR1	0	1.06486216853698	0.943	0.234	0	Alveolar macrophages	OLR1
CTSC	0	1.06205459972656	0.965	0.44	0	Alveolar macrophages	CTSC
ANXA2	0	1.05870492262823	0.989	0.707	0	Alveolar macrophages	ANXA2
LPL	0	1.05867980839522	0.834	0.176	0	Alveolar macrophages	LPL
LTA4H	0	1.0577615022457	0.944	0.345	0	Alveolar macrophages	LTA4H
ALOX5AP	0	1.05751601744764	0.94	0.365	0	Alveolar macrophages	ALOX5AP
VIM	0	1.02440097703899	0.999	0.797	0	Alveolar macrophages	VIM
HLA-DQA1	0	1.01620959196632	0.977	0.431	0	Alveolar macrophages	HLA-DQA1
HLA-DPA1	0	1.01561701712963	0.996	0.731	0	Alveolar macrophages	HLA-DPA1
CST3	0	0.996880498236424	0.994	0.749	0	Alveolar macrophages	CST3
HEXB	0	0.993802435278581	0.915	0.265	0	Alveolar macrophages	HEXB
CES1	0	0.989758105889255	0.728	0.122	0	Alveolar macrophages	CES1
TSPO	0	0.966689213283795	0.929	0.288	0	Alveolar macrophages	TSPO
HLA-DQB1	0	0.949985454112321	0.987	0.579	0	Alveolar macrophages	HLA-DQB1
ANXA5	0	0.944437657685129	0.981	0.605	0	Alveolar macrophages	ANXA5
RND3	0	0.939241228717672	0.47	0.112	0	Alveolar macrophages	RND3
CFL1	0	0.927124637478326	0.999	0.96	0	Alveolar macrophages	CFL1
TMSB4X	0	0.917419371509005	1	0.99	0	Alveolar macrophages	TMSB4X
GLUL	0	0.899454180656168	0.988	0.715	0	Alveolar macrophages	GLUL
GLIPR2	0	0.899137271703657	0.84	0.143	0	Alveolar macrophages	GLIPR2
LAPTM5	0	0.894634229338957	0.994	0.608	0	Alveolar macrophages	LAPTM5
CYP27A1	0	0.890637547002652	0.801	0.058	0	Alveolar macrophages	CYP27A1
TNF	0	0.886424558294729	0.617	0.16	0	Alveolar macrophages	TNF
CTSS	0	0.874113445086952	0.977	0.507	0	Alveolar macrophages	CTSS
ALOX5	0	0.871619224415349	0.834	0.109	0	Alveolar macrophages	ALOX5
SCD	0	0.869396786119874	0.772	0.191	0	Alveolar macrophages	SCD
ADAMTSL4	0	0.864932953042041	0.812	0.07	0	Alveolar macrophages	ADAMTSL4
HMOX1	0	0.859789664672544	0.772	0.17	0	Alveolar macrophages	HMOX1
HLA-DRB5	0	0.856847352633416	0.637	0.501	0	Alveolar macrophages	HLA-DRB5
CTSL	0	0.851354195586118	0.811	0.162	0	Alveolar macrophages	CTSL
GSTO1	0	0.851280306222687	0.886	0.224	0	Alveolar macrophages	GSTO1
SAMHD1	0	0.849712919949448	0.955	0.439	0	Alveolar macrophages	SAMHD1
SPI1	0	0.848919943440721	0.83	0.104	0	Alveolar macrophages	SPI1
HLA-DQA2	0	0.847838471622355	0.463	0.141	0	Alveolar macrophages	HLA-DQA2
RETN	0	0.847301721009041	0.533	0.04	0	Alveolar macrophages	RETN
HLA-DPB1	0	0.8428458408539	0.995	0.717	0	Alveolar macrophages	HLA-DPB1
MS4A4A	0	0.838506137223814	0.799	0.075	0	Alveolar macrophages	MS4A4A
LGALS3BP	0	0.83769713826211	0.871	0.306	0	Alveolar macrophages	LGALS3BP
RBP4	0	0.833051005553609	0.441	0.022	0	Alveolar macrophages	RBP4
MYL6	0	0.826556263004383	0.997	0.917	0	Alveolar macrophages	MYL6
FCGR3A	0	0.823602063075918	0.898	0.292	0	Alveolar macrophages	FCGR3A
SNX10	0	0.823234313319714	0.783	0.105	0	Alveolar macrophages	SNX10
OAZ1	0	0.821929125842133	0.997	0.935	0	Alveolar macrophages	OAZ1
SIRPB1	0	0.811440268833654	0.579	0.045	0	Alveolar macrophages	SIRPB1
TREM1	0	0.80203235033671	0.807	0.096	0	Alveolar macrophages	TREM1
SMIM25	0	0.801421335900138	0.763	0.062	0	Alveolar macrophages	SMIM25
OSCAR	0	0.798062839973907	0.73	0.044	0	Alveolar macrophages	OSCAR
TGM2	0	0.79527877734583	0.654	0.1	0	Alveolar macrophages	TGM2
IL1A	0	0.794598849112573	0.4	0.052	0	Alveolar macrophages	IL1A
SLC11A1	0	0.793069189123605	0.813	0.086	0	Alveolar macrophages	SLC11A1
CTSZ	0	0.787517323788902	0.885	0.213	0	Alveolar macrophages	CTSZ
CD63	0	0.781809759150012	0.991	0.833	0	Alveolar macrophages	CD63
MME	0	0.775891754963248	0.666	0.043	0	Alveolar macrophages	MME
APOE	0	0.775653061218849	0.482	0.051	0	Alveolar macrophages	APOE
