Gene	Term
INS	Autophagy
IGF1R	Autophagy
IRS1	Autophagy
IRS2	Autophagy
IRS4	Autophagy
PIK3CA	Autophagy
PIK3CD	Autophagy
PIK3CB	Autophagy
PIK3R1	Autophagy
PIK3R2	Autophagy
PIK3R3	Autophagy
PDPK1	Autophagy
AKT1	Autophagy
AKT2	Autophagy
AKT3	Autophagy
PTEN	Autophagy
HRAS	Autophagy
KRAS	Autophagy
NRAS	Autophagy
MRAS	Autophagy
RRAS	Autophagy
RRAS2	Autophagy
RAF1	Autophagy
MAP2K1	Autophagy
MAP2K2	Autophagy
MAPK1	Autophagy
MAPK3	Autophagy
HIF1A	Autophagy
DDIT4	Autophagy
TSC2	Autophagy
TSC1	Autophagy
BNIP3	Autophagy
RHEB	Autophagy
RPTOR	Autophagy
DEPTOR	Autophagy
MTOR	Autophagy
AKT1S1	Autophagy
MLST8	Autophagy
RPS6KB1	Autophagy
RPS6KB2	Autophagy
IGBP1	Autophagy
PPP2CA	Autophagy
PPP2CB	Autophagy
ULK1	Autophagy
ULK2	Autophagy
ATG13	Autophagy
ATG101	Autophagy
RB1CC1	Autophagy
ATG2A	Autophagy
ATG2B	Autophagy
WIPI2	Autophagy
WIPI1	Autophagy
WDR45B	Autophagy
WDR45	Autophagy
ATG9B	Autophagy
ATG9A	Autophagy
SUPT20H	Autophagy
SMCR8	Autophagy
WDR41	Autophagy
C9orf72	Autophagy
RAB8A	Autophagy
RAB39B	Autophagy
SQSTM1	Autophagy
TBK1	Autophagy
TANK	Autophagy
RAB1A	Autophagy
RRAGA	Autophagy
RRAGB	Autophagy
RRAGC	Autophagy
RRAGD	Autophagy
STK11	Autophagy
PRKAA1	Autophagy
PRKAA2	Autophagy
PRKACA	Autophagy
PRKACB	Autophagy
PRKACG	Autophagy
PRKCD	Autophagy
MAPK8	Autophagy
MAPK10	Autophagy
MAPK9	Autophagy
BCL2	Autophagy
BCL2L1	Autophagy
BAD	Autophagy
BECN1	Autophagy
BECN2	Autophagy
NRBF2	Autophagy
PIK3R4	Autophagy
PIK3C3	Autophagy
ATG14	Autophagy
AMBRA1	Autophagy
TRAF6	Autophagy
TP53INP2	Autophagy
VMP1	Autophagy
STX17	Autophagy
UVRAG	Autophagy
SH3GLB1	Autophagy
RUBCN	Autophagy
CAMKK2	Autophagy
MAP3K7	Autophagy
ERN1	Autophagy
ITPR1	Autophagy
DAPK1	Autophagy
DAPK3	Autophagy
DAPK2	Autophagy
HMGB1	Autophagy
PRAP1	Autophagy
EIF2AK3	Autophagy
EIF2AK4	Autophagy
EIF2S1	Autophagy
MTMR3	Autophagy
MTMR4	Autophagy
MTMR14	Autophagy
ZFYVE1	Autophagy
ATG12	Autophagy
ATG5	Autophagy
ATG16L1	Autophagy
ATG16L2	Autophagy
ATG7	Autophagy
ATG10	Autophagy
ATG3	Autophagy
CFLAR	Autophagy
RAB33B	Autophagy
PRKCQ	Autophagy
GABARAP	Autophagy
GABARAPL1	Autophagy
GABARAPL2	Autophagy
MAP1LC3C	Autophagy
MAP1LC3B	Autophagy
MAP1LC3A	Autophagy
MAP1LC3B2	Autophagy
ATG4A	Autophagy
ATG4B	Autophagy
ATG4C	Autophagy
ATG4D	Autophagy
NBR1	Autophagy
OPTN	Autophagy
CALCOCO2	Autophagy
TAX1BP1	Autophagy
WDFY3	Autophagy
UBA52	Autophagy
RPS27A	Autophagy
