p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MT2A	3.94857315192786e-55	0.864133439833984	0.839	0.542	9.64281049432303e-51	COPD	MT2A
ZFAND5	1.94936281369072e-42	0.583425052009534	0.881	0.667	4.76053892731411e-38	COPD	ZFAND5
SLC38A2	1.36007693242635e-34	0.477082591142868	0.878	0.65	3.32144387667839e-30	COPD	SLC38A2
MT-ND3	3.32476005907216e-34	0.39384961081762	0.998	1	8.11939654026013e-30	COPD	MT-ND3
CTGF	1.37765574893484e-33	0.846624235067223	0.706	0.449	3.36437310447377e-29	COPD	CTGF
MT1E	7.45526131727334e-30	0.646375897388261	0.52	0.259	1.82064936629132e-25	COPD	MT1E
CEBPB	1.21326986324161e-28	0.44487278226025	0.854	0.691	2.96292633302234e-24	COPD	CEBPB
NR4A1	2.10789902841763e-28	0.517785852429802	0.878	0.686	5.14770021729869e-24	COPD	NR4A1
CYR61	1.66618512877289e-27	0.787398426530133	0.792	0.609	4.06899070297626e-23	COPD	CYR61
ADAMTS1	6.09271618318381e-27	0.607932301095604	0.718	0.481	1.48790221909532e-22	COPD	ADAMTS1
ACTB	3.2507941836228e-26	0.298026554098968	0.997	0.977	7.93876447582524e-22	COPD	ACTB
ACTN1	4.51742004829957e-26	0.348188330061414	0.424	0.167	1.10319914999524e-21	COPD	ACTN1
CSRNP1	3.77125418732693e-25	0.343759344650081	0.59	0.308	9.20977985087109e-21	COPD	CSRNP1
TPM1	5.81021319496116e-25	0.477892342006699	0.615	0.376	1.41891216434147e-20	COPD	TPM1
NEXN	1.05736944782954e-24	0.370366464033441	0.51	0.251	2.58220192854452e-20	COPD	NEXN
BTG2	2.15831535506638e-24	0.466824608090381	0.834	0.614	5.2708219286076e-20	COPD	BTG2
ACTA2	2.38786508829101e-24	0.701479302031901	0.476	0.23	5.83140533211547e-20	COPD	ACTA2
SLC19A2	2.51189078227131e-24	0.425821866179175	0.377	0.155	6.13428847938477e-20	COPD	SLC19A2
CEBPD	3.64402746722408e-24	0.396113508296536	0.861	0.659	8.89907947770792e-20	COPD	CEBPD
FILIP1L	2.15495617538793e-23	0.420176210021526	0.556	0.312	5.26261847591485e-19	COPD	FILIP1L
B2M	1.63453126048944e-22	0.343013171007743	1	1	3.99168879124127e-18	COPD	B2M
TAGLN	1.44025913924027e-20	0.656954697861952	0.468	0.253	3.51725684393865e-16	COPD	TAGLN
RASD1	2.46982972138468e-19	0.572023085826851	0.415	0.218	6.03157116259353e-15	COPD	RASD1
ACTG1	3.25648163305244e-19	0.270484602100214	0.992	0.995	7.95265379607737e-15	COPD	ACTG1
MYLK	4.6901653225719e-19	0.405370607686875	0.623	0.396	1.14538527342528e-14	COPD	MYLK
PER1	4.94205211259353e-19	0.236163142657855	0.393	0.179	1.20689854641647e-14	COPD	PER1
PHLDA1	1.71144979148639e-18	0.37232009014129	0.412	0.205	4.17953153578892e-14	COPD	PHLDA1
BCL6	2.37426128909495e-18	0.306407338934476	0.501	0.279	5.79818349409878e-14	COPD	BCL6
